Id,Label,indegree,outdegree,Degree,Eccentricity,closnesscentrality,harmonicclosnesscentrality,betweenesscentrality,componentnumber,strongcompnum,modularity_class,clustering,eigencentrality,pageranks
0,,6,9,15,5,0.41076,0.43666,2540.643719,0,70,6,0.208333,0.059395,0.001009
496,,4,7,11,5,0.37,0.395409,41.885371,0,70,0,0.472222,0.014184,0.000619
499,,2,0,2,0,0,0,0,0,4,6,0,0.003084,0.00037
502,,14,8,22,6,0.367035,0.393122,1643.101768,0,70,7,0.202381,0.081044,0.001752
504,,4,4,8,6,0.369716,0.395894,419.108571,0,70,6,0.25,0.017635,0.000775
589,,576,330,906,5,0.555748,0.650069,537917.839964,0,70,0,0.007522,1,0.075171
592,,123,399,522,5,0.582677,0.688167,258193.874814,0,70,7,0.011125,0.296505,0.018021
691,,4,4,8,6,0.36084,0.385291,175.019039,0,70,6,0.333333,0.051474,0.000964
937,,14,12,26,5,0.412168,0.439085,2963.466896,0,70,6,0.172794,0.075483,0.002359
1007,,2,2,4,6,0.284953,0.295929,212.350738,0,70,9,0,0.002986,0.000347
1,,2,3,5,6,0.360976,0.385464,0,0,70,0,0.75,0.012881,0.000265
249,,240,39,279,5,0.440073,0.472419,51422.581093,0,70,0,0.022328,0.514619,0.035917
772,,7,9,16,6,0.367456,0.393815,131.342489,0,70,0,0.320513,0.024706,0.000645
2,,2,3,5,6,0.360976,0.385464,0,0,70,0,0.75,0.012881,0.000263
773,,7,9,16,6,0.367456,0.393815,128.262784,0,70,0,0.320513,0.024706,0.000628
3,,2,3,5,6,0.360976,0.385464,0,0,70,0,0.75,0.012881,0.000267
774,,7,9,16,6,0.367456,0.393815,131.34487,0,70,0,0.320513,0.024706,0.00067
4,,2,3,5,6,0.360976,0.385464,0,0,70,0,0.75,0.012881,0.000266
775,,7,9,16,6,0.367456,0.393815,128.736147,0,70,0,0.326923,0.024706,0.000656
5,,4,3,7,6,0.360976,0.385464,3.649802,0,70,0,0.566667,0.016427,0.000376
776,,7,9,16,6,0.367596,0.393902,125.337714,0,70,0,0.320513,0.024846,0.000677
6,,2,3,5,6,0.360976,0.385464,0,0,70,0,0.75,0.012881,0.000286
777,,7,9,16,6,0.367456,0.393815,596.648668,0,70,0,0.307692,0.024703,0.000874
7,,4,3,7,6,0.360976,0.385464,3.649802,0,70,0,0.566667,0.016424,0.000397
778,,7,9,16,6,0.367596,0.393902,590.774722,0,70,0,0.307692,0.024844,0.000911
8,,4,3,7,6,0.358153,0.381739,366.042564,0,70,3,0.333333,0.051817,0.001124
656,,5,2,7,6,0.308136,0.322089,17.680342,0,70,3,0.55,0.0571,0.000982
734,,71,60,131,5,0.433138,0.474394,13023.950241,0,70,3,0.035989,0.170929,0.009698
9,,3,3,6,6,0.358554,0.382259,304.051334,0,70,8,0.5,0.048368,0.000608
657,,4,7,11,6,0.367596,0.393382,969.181697,0,70,8,0.285714,0.009935,0.00092
10,,5,5,10,6,0.364394,0.389466,478.841312,0,70,3,0.25,0.038512,0.00161
166,,5,6,11,6,0.363293,0.388306,332.71662,0,70,3,0.303571,0.032019,0.001605
316,,39,298,337,5,0.546281,0.633853,124071.708521,0,70,0,0.016386,0.170142,0.011801
513,,15,13,28,6,0.365502,0.393451,3694.143974,0,70,4,0.099265,0.069061,0.003384
733,,63,74,137,5,0.444753,0.488756,43668.847343,0,70,3,0.031934,0.158229,0.008704
819,,250,39,289,5,0.443727,0.475,78599.407086,0,70,0,0.022308,0.551813,0.039539
11,,2,4,6,6,0.365224,0.389692,0,0,70,0,0.866667,0.017927,0.000238
678,,8,7,15,6,0.365919,0.391597,850.101106,0,70,4,0.5,0.046151,0.001767
12,,2,2,4,6,0.357754,0.38096,0,0,70,0,1,0.043262,0.000441
668,,6,10,16,5,0.414477,0.44035,1174.52799,0,70,0,0.401515,0.0625,0.000966
13,,2,3,5,6,0.35842,0.381999,1,0,70,0,0.55,0.014047,0.000311
409,,12,7,19,6,0.361111,0.386642,111.148673,0,70,0,0.219048,0.026871,0.001122
515,,23,5,28,6,0.367456,0.392723,206.096879,0,70,0,0.123016,0.039045,0.001405
14,,2,3,5,6,0.35842,0.381999,1,0,70,0,0.55,0.014047,0.000311
980,,12,7,19,6,0.361382,0.386902,109.554488,0,70,0,0.219048,0.026874,0.001111
15,,2,3,5,6,0.35842,0.381999,1,0,70,0,0.55,0.014047,0.000311
981,,12,7,19,6,0.360976,0.386469,98.015794,0,70,0,0.219048,0.02667,0.001099
16,,2,3,5,6,0.35842,0.381999,1,0,70,0,0.6,0.014049,0.000291
599,,12,10,22,5,0.410935,0.436972,1220.660929,0,70,0,0.176471,0.026947,0.00111
17,,2,3,5,6,0.358554,0.382086,1,0,70,0,0.55,0.014047,0.000267
600,,12,7,19,6,0.361926,0.387595,126.380276,0,70,0,0.219048,0.026675,0.001002
18,,2,3,5,6,0.35842,0.381999,1,0,70,0,0.55,0.014045,0.00031
757,,11,7,18,6,0.360976,0.386469,93.122455,0,70,0,0.214286,0.02425,0.001051
19,,2,3,5,6,0.358554,0.382086,1,0,70,0,0.55,0.014044,0.000266
759,,11,7,18,6,0.36179,0.387422,113.327563,0,70,0,0.214286,0.024094,0.00095
20,,2,3,5,6,0.35842,0.381999,0,0,70,0,0.55,0.012894,0.000254
516,,23,5,28,6,0.370999,0.395669,255.232704,0,70,0,0.17328,0.03866,0.001278
21,,2,3,5,6,0.35842,0.381999,0,0,70,0,0.55,0.012894,0.000254
22,,2,3,5,6,0.35842,0.381999,0,0,70,0,0.55,0.012894,0.000254
23,,2,3,5,6,0.35842,0.381999,0,0,70,0,0.6,0.012895,0.000247
24,,2,3,5,6,0.358554,0.382086,0,0,70,0,0.55,0.012894,0.000245
25,,2,3,5,6,0.35842,0.381999,0,0,70,0,0.55,0.012891,0.000253
26,,2,3,5,6,0.358554,0.382086,0,0,70,0,0.55,0.012891,0.000245
27,,4,5,9,6,0.361247,0.386244,14.133776,0,70,0,0.47619,0.019777,0.000493
240,,33,16,49,6,0.321309,0.341407,3273.286518,0,70,3,0.072269,0.111133,0.004348
570,,26,25,51,6,0.377996,0.410707,3670.796484,0,70,0,0.099865,0.110848,0.003416
28,,4,5,9,6,0.361382,0.386331,14.122665,0,70,0,0.47619,0.019781,0.000498
29,,4,5,9,6,0.361247,0.386244,13.674971,0,70,0,0.5,0.019777,0.000505
30,,4,5,9,6,0.361382,0.386331,316.595054,0,70,0,0.428571,0.019779,0.000709
31,,4,5,9,6,0.361247,0.386244,316.409123,0,70,0,0.428571,0.019774,0.000699
32,,3,5,8,6,0.364118,0.388669,37.964387,0,70,3,0.285714,0.008114,0.000602
562,,36,35,71,5,0.387435,0.422748,15385.494279,0,70,0,0.096154,0.128133,0.004582
735,,76,36,112,5,0.382201,0.418468,27615.470608,0,70,3,0.028945,0.171742,0.017603
843,,7,9,16,6,0.367035,0.393468,690.267934,0,70,0,0.352564,0.069163,0.000849
33,,4,5,9,6,0.361247,0.386244,14.133776,0,70,0,0.47619,0.019777,0.000516
34,,4,5,9,6,0.361247,0.386244,13.700098,0,70,3,0.47619,0.019777,0.000478
35,,0,2,2,6,0.357727,0.38091,0,0,71,7,0,0,0.000165
112,,2,2,4,6,0.308235,0.319265,7.885437,0,70,7,0.25,0.012017,0.000274
36,,0,2,2,6,0.357727,0.38091,0,0,72,7,0,0,0.000165
116,,2,2,4,6,0.308333,0.319525,7.965137,0,70,7,0.25,0.012017,0.000274
37,,0,2,2,6,0.357727,0.38091,0,0,73,7,0,0,0.000165
121,,2,2,4,6,0.30784,0.318659,7.899325,0,70,7,0.25,0.012017,0.000274
38,,0,2,2,6,0.357727,0.38091,0,0,74,7,0,0,0.000165
170,,2,2,4,6,0.308037,0.319006,7.985437,0,70,7,0.25,0.012017,0.000274
39,,1,3,4,5,0.362062,0.384148,0,0,70,4,0.666667,0.040807,0.000359
738,,57,13,70,5,0.426041,0.451403,13152.496003,0,70,0,0.091808,0.20334,0.00922
861,,55,22,77,5,0.428699,0.456601,22312.035709,0,70,4,0.057892,0.157409,0.007942
40,,5,3,8,6,0.358287,0.381913,339.508102,0,70,7,0.3,0.060764,0.000733
41,,4,4,8,6,0.318017,0.331687,110.312235,0,70,7,0.166667,0.021476,0.000768
42,,3,3,6,6,0.358153,0.381826,83.991541,0,70,0,0.35,0.048253,0.000556
830,,139,9,148,5,0.403016,0.428448,35053.894727,0,70,0,0.026744,0.304707,0.017595
278,,98,9,107,6,0.360435,0.385793,12994.451179,0,70,0,0.040198,0.240723,0.012443
473,,7,3,10,6,0.358153,0.381826,127.289355,0,70,2,0.232143,0.055128,0.000926
43,,4,2,6,6,0.298851,0.310118,16.851166,0,70,7,0.233333,0.018585,0.000604
892,,14,26,40,5,0.420822,0.451403,10018.081627,0,70,1,0.077586,0.091834,0.003668
44,,2,2,4,6,0.277954,0.29132,20.55405,0,70,3,0.25,0.008542,0.000618
935,,3,2,5,6,0.279489,0.292966,173.006751,0,70,3,0.2,0.047334,0.00069
45,,3,5,8,5,0.409188,0.433714,800.331601,0,70,6,0.4,0.048873,0.000956
145,,3,8,11,5,0.367316,0.392204,54.587827,0,70,6,0.194444,0.008098,0.000546
264,,4,2,6,6,0.299875,0.311781,34.932333,0,70,6,0.583333,0.056107,0.001244
736,,37,77,114,5,0.443522,0.489414,9871.698795,0,70,3,0.040993,0.158291,0.006194
46,,3,5,8,5,0.409188,0.433714,818.089507,0,70,7,0.35,0.04891,0.000978
67,,5,2,7,6,0.299875,0.311781,68.269252,0,70,7,0.35,0.056605,0.001294
146,,3,2,5,6,0.300062,0.311071,8.757191,0,70,7,0,0.007977,0.000552
47,,0,2,2,6,0.308357,0.322447,0,0,75,3,0,0,0.000165
117,,3,3,6,6,0.360435,0.384771,308.634334,0,70,3,0.15,0.047988,0.000567
48,,5,2,7,7,0.266187,0.277242,56.300978,0,70,8,0.1,0.013516,0.00087
259,,5,3,8,6,0.292935,0.303933,133.366488,0,70,6,0,0.006714,0.001015
511,,10,10,20,6,0.361654,0.388167,2975.037607,0,70,8,0.153846,0.069034,0.002692
49,,0,4,4,6,0.312054,0.328764,0,0,76,3,0.666667,0,0.000165
78,,3,3,6,6,0.31173,0.327893,2.682542,0,70,3,0.5,0.047046,0.000463
196,,8,5,13,6,0.368582,0.393728,171.423507,0,70,3,0.482143,0.072425,0.001595
50,,2,2,4,6,0.299222,0.309026,0.333333,0,70,7,0.416667,0.012945,0.000247
194,,3,2,5,6,0.277074,0.29035,29.594489,0,70,7,0.3,0.053252,0.000502
51,,3,1,4,7,0.268715,0.278737,3.455047,0,70,3,0.166667,0.01331,0.00043
52,,4,7,11,6,0.367316,0.393035,984.923418,0,70,7,0.522222,0.019955,0.000701
364,,82,11,93,6,0.370713,0.398146,17426.917102,0,70,3,0.04891,0.22876,0.011503
1010,,7,4,11,6,0.365502,0.389951,475.024696,0,70,7,0.381818,0.023524,0.000713
53,,2,7,9,6,0.36003,0.385256,267.187177,0,70,0,0.321429,0.014047,0.000311
288,,3,0,3,0,0,0,0,0,34,0,0.333333,0.002985,0.000284
787,,6,6,12,6,0.366337,0.391597,1007.48384,0,70,0,0.388889,0.061636,0.000758
54,,2,7,9,6,0.36003,0.385256,267.187177,0,70,0,0.321429,0.014047,0.000311
289,,3,0,3,0,0,0,0,0,33,0,0.333333,0.002985,0.000284
788,,6,6,12,6,0.366337,0.391597,1007.438464,0,70,0,0.388889,0.061636,0.000757
55,,2,7,9,6,0.36003,0.385256,267.632515,0,70,0,0.321429,0.014047,0.000311
290,,3,0,3,0,0,0,0,0,47,0,0.333333,0.002985,0.000284
789,,6,6,12,6,0.366337,0.391597,1008.144202,0,70,0,0.388889,0.061629,0.000756
56,,3,7,10,6,0.360165,0.38543,744.516733,0,70,0,0.263889,0.014457,0.000338
291,,3,0,3,0,0,0,0,0,32,0,0.333333,0.003056,0.000285
790,,6,7,13,6,0.366616,0.39229,1840.098922,0,70,0,0.322222,0.061674,0.00072
57,,2,7,9,6,0.360705,0.386036,267.632515,0,70,0,0.321429,0.014047,0.000267
292,,3,0,3,0,0,0,0,0,35,0,0.333333,0.002985,0.000269
791,,6,10,16,6,0.368159,0.394941,2694.356804,0,70,0,0.198718,0.061629,0.000739
58,,2,7,9,6,0.36003,0.385256,267.764903,0,70,0,0.321429,0.014045,0.00031
293,,3,0,3,0,0,0,0,0,46,0,0.333333,0.002982,0.000283
792,,6,6,12,6,0.366337,0.391597,1037.792141,0,70,0,0.388889,0.061543,0.000751
59,,2,7,9,6,0.360705,0.386036,267.90721,0,70,0,0.321429,0.014044,0.000266
294,,3,0,3,0,0,0,0,0,66,0,0.333333,0.002982,0.000268
793,,6,10,16,6,0.368159,0.394941,2725.023954,0,70,0,0.198718,0.061539,0.000734
60,,2,7,9,6,0.3603,0.385603,210.400035,0,70,0,0.339286,0.012894,0.000254
796,,7,11,18,6,0.37057,0.397315,1577.403871,0,70,0,0.285714,0.024899,0.000649
61,,2,7,9,6,0.3603,0.385603,210.344479,0,70,0,0.339286,0.012894,0.000254
797,,7,11,18,6,0.37057,0.397315,1576.959427,0,70,0,0.285714,0.024899,0.000648
62,,2,7,9,6,0.3603,0.385603,210.767245,0,70,0,0.339286,0.012894,0.000254
798,,7,11,18,6,0.37057,0.397315,1576.228624,0,70,0,0.285714,0.024892,0.000647
63,,3,7,10,6,0.360435,0.385776,691.649402,0,70,0,0.277778,0.013304,0.000294
799,,7,12,19,6,0.370856,0.398008,1716.95923,0,70,0,0.252381,0.024937,0.00061
64,,2,7,9,6,0.360705,0.386036,210.767245,0,70,0,0.339286,0.012894,0.000245
800,,7,13,20,6,0.371572,0.399012,2137.753747,0,70,0,0.216667,0.024892,0.000631
65,,2,7,9,6,0.3603,0.385603,210.809092,0,70,0,0.339286,0.012891,0.000253
801,,7,11,18,6,0.37057,0.397315,1576.568051,0,70,0,0.285714,0.024806,0.000641
66,,2,7,9,6,0.360705,0.386036,210.933879,0,70,0,0.339286,0.012891,0.000245
802,,7,13,20,6,0.371572,0.399012,2137.448831,0,70,0,0.216667,0.024801,0.000626
68,,3,3,6,6,0.304334,0.317897,93.150486,0,70,4,0,0.012476,0.000813
891,,3,5,8,5,0.363156,0.386019,320.791491,0,70,4,0.35,0.047471,0.000658
69,,6,6,12,6,0.28941,0.307814,238.111615,0,70,1,0.196429,0.024482,0.001122
212,,2,3,5,6,0.30119,0.311972,161.837462,0,70,1,0.2,0.042053,0.000518
218,,20,29,49,5,0.384339,0.418001,15972.706373,0,70,2,0.066145,0.044996,0.004119
315,,3,5,8,6,0.36057,0.384286,193.27641,0,70,1,0.45,0.047884,0.000586
565,,16,17,33,5,0.377403,0.40648,1971.306566,0,70,1,0.228261,0.122445,0.003334
70,,1,3,4,6,0.369858,0.395426,972.304057,0,70,4,0.166667,0.000502,0.000459
144,,2,4,6,6,0.370427,0.396674,9.633333,0,70,8,0.466667,0.041253,0.000489
71,,3,2,5,6,0.308037,0.318832,968.839987,0,70,7,0.35,0.015915,0.000399
119,,1,2,3,6,0.369148,0.394421,177.812401,0,70,7,0.166667,0.000937,0.000335
72,,2,3,5,6,0.36057,0.384685,1.6625,0,70,0,0.5,0.012881,0.000265
73,,3,2,5,6,0.302897,0.313444,10.645725,0,70,3,0.05,0.009302,0.000472
74,,3,3,6,6,0.360435,0.384771,245.121158,0,70,3,0.3,0.044816,0.000594
75,,1,3,4,6,0.36057,0.384945,2.643254,0,70,4,0.333333,0.001719,0.000267
76,,4,2,6,6,0.302706,0.313184,17.067187,0,70,4,0,0.015887,0.000803
77,,0,3,3,6,0.311953,0.328159,0,0,77,3,0.333333,0,0.000165
551,,8,5,13,6,0.362199,0.387249,289.43827,0,70,3,0.311111,0.073647,0.001207
630,,5,3,8,6,0.358153,0.381739,126.769667,0,70,3,0.55,0.058137,0.000967
79,,3,2,5,6,0.277874,0.291268,20.44891,0,70,6,0,0.013545,0.000356
783,,3,4,7,6,0.358955,0.382918,428.877508,0,70,0,0.2,0.047515,0.000579
80,,5,6,11,6,0.369716,0.395461,341.399452,0,70,8,0.222222,0.046944,0.000795
81,,9,8,17,5,0.41076,0.436019,1811.010029,0,70,8,0.195238,0.065905,0.001289
417,,12,11,23,6,0.377699,0.407328,3559.274606,0,70,8,0.079167,0.026521,0.002355
564,,11,8,19,6,0.371716,0.398025,171.807574,0,70,3,0.25,0.070186,0.001158
257,,12,2,14,7,0.268265,0.278789,458.117566,0,70,6,0.005495,0.01686,0.001168
436,,3,0,3,0,0,0,0,0,60,8,0.166667,0.006189,0.000515
708,,15,9,24,5,0.411287,0.436885,1859.113412,0,70,8,0.162338,0.082561,0.001874
910,,25,10,35,6,0.369148,0.395859,3855.906139,0,70,3,0.133903,0.138121,0.005475
946,,4,0,4,0,0,0,0,0,15,8,0.416667,0.046996,0.000708
82,,7,7,14,6,0.309126,0.322644,1134.046674,0,70,7,0.02381,0.03373,0.002682
83,,1,3,4,6,0.276675,0.289172,8.890438,0,70,1,0,0.00154,0.000491
392,,5,5,10,6,0.359089,0.383143,297.146464,0,70,7,0.380952,0.059128,0.001437
414,,6,3,9,6,0.358153,0.381739,291.880791,0,70,7,0.233333,0.058846,0.001312
430,,6,3,9,6,0.358287,0.381826,336.29066,0,70,7,0.366667,0.060195,0.001326
462,,6,5,11,6,0.361111,0.386244,342.279507,0,70,7,0.357143,0.060975,0.001473
945,,5,5,10,6,0.360976,0.386071,352.699873,0,70,7,0.366667,0.05836,0.001606
216,,13,7,20,6,0.370285,0.396015,1568.805984,0,70,1,0.180952,0.071121,0.00175
84,,6,3,9,6,0.308531,0.323129,1020.316496,0,70,3,0.3,0.053692,0.00099
573,,7,6,13,6,0.363293,0.388306,1407.44912,0,70,3,0.288889,0.068228,0.001104
620,,1,4,5,6,0.312034,0.32876,10.054984,0,70,3,0.5,0.002199,0.000446
85,,2,3,5,6,0.360705,0.384771,1.6625,0,70,0,0.5,0.012885,0.000268
86,,2,3,5,6,0.36057,0.384685,1.540705,0,70,0,0.55,0.012881,0.000266
87,,2,2,4,6,0.290722,0.300502,2.780556,0,70,6,0,0.001761,0.000486
113,,2,5,7,5,0.409362,0.433888,1170.776511,0,70,3,0.25,0.012113,0.00041
114,,4,2,6,6,0.368582,0.393815,1130.338558,0,70,6,0,0.01494,0.000589
88,,4,2,6,6,0.301662,0.31289,25.4594,0,70,7,0.266667,0.020354,0.000376
261,,20,25,45,5,0.422857,0.452824,13530.077349,0,70,3,0.068966,0.087588,0.004043
692,,14,10,24,5,0.41627,0.442082,1602.230255,0,70,6,0.2,0.037031,0.00163
89,,2,5,7,6,0.363156,0.387231,185.117153,0,70,0,0.5,0.007625,0.000406
176,,6,2,8,6,0.306077,0.317325,111.728416,0,70,0,0.333333,0.026095,0.000487
939,,7,2,9,6,0.306272,0.317464,268.263115,0,70,0,0.375,0.062036,0.00085
90,,1,1,2,7,0.232704,0.23787,0.790476,0,70,3,0,0.000936,0.000393
698,,4,2,6,6,0.302897,0.313306,967.717462,0,70,3,0.25,0.023438,0.00131
91,,3,2,5,6,0.368582,0.393815,1155.561762,0,70,3,0.083333,0.015814,0.000535
92,,3,2,5,6,0.287765,0.297904,2.541606,0,70,0,0.45,0.048896,0.000491
177,,3,3,6,6,0.36084,0.385118,766.596315,0,70,0,0.2,0.043936,0.000588
93,,1,3,4,6,0.376369,0.402148,684.610419,0,70,9,0.333333,0.000677,0.000321
591,,2,4,6,6,0.376959,0.403188,13,0,70,9,0.4,0.007223,0.000394
94,,1,4,5,6,0.2747,0.287509,4.323774,0,70,7,0.05,0.002463,0.000219
827,,6,6,12,6,0.363568,0.387838,1843.751759,0,70,3,0.194444,0.056825,0.001299
95,,2,3,5,6,0.360705,0.384771,1.6625,0,70,0,0.5,0.012885,0.00029
96,,2,3,5,6,0.36057,0.384685,1.6625,0,70,0,0.5,0.012881,0.000286
97,,5,3,8,6,0.359089,0.382571,654.904885,0,70,6,0.321429,0.027983,0.00044
101,,2,5,7,6,0.366197,0.391078,28.743473,0,70,6,0.285714,0.002456,0.000316
98,,5,3,8,6,0.358955,0.382484,635.665305,0,70,6,0.303571,0.026749,0.000409
100,,2,5,7,6,0.365919,0.390818,27.621861,0,70,6,0.285714,0.002426,0.000307
99,,5,3,8,6,0.35842,0.381965,55.827058,0,70,6,0.357143,0.026748,0.000408
863,,20,6,26,5,0.409885,0.434667,1900.483886,0,70,8,0.167984,0.110138,0.003138
102,,2,5,7,6,0.365919,0.390818,572.579363,0,70,6,0.333333,0.04129,0.0005
103,,2,2,4,7,0.276755,0.288127,969.890407,0,70,0,0,0.008166,0.000366
363,,22,6,28,6,0.313559,0.328344,503.431825,0,70,0,0.073333,0.063674,0.002635
104,,5,3,8,6,0.371572,0.397263,224.139421,0,70,3,0.4,0.024058,0.000682
795,,7,27,34,5,0.409188,0.439951,9651.290434,0,70,4,0.107143,0.049338,0.001918
105,,0,2,2,6,0.308555,0.319626,0,0,78,8,0,0,0.000165
571,,9,6,15,6,0.358821,0.383732,223.102686,0,70,8,0.318182,0.078214,0.001214
106,,2,2,4,6,0.369432,0.394473,1355.370597,0,70,4,0,0.002331,0.000378
909,,1,3,4,6,0.289585,0.30071,8.766782,0,70,4,0,0.000517,0.000326
107,,2,3,5,6,0.36057,0.384685,1.6625,0,70,0,0.5,0.012881,0.000267
108,,2,3,5,6,0.36057,0.384685,1.6625,0,70,0,0.5,0.012881,0.000263
111,,4,2,6,6,0.298943,0.310152,24.663875,0,70,3,0,0.012719,0.000499
984,,5,11,16,5,0.414655,0.44087,1835.633527,0,70,0,0.19697,0.058628,0.000791
245,,6,8,14,6,0.362472,0.3886,359.645283,0,70,0,0.4,0.068013,0.002315
115,,2,2,4,7,0.272136,0.283502,11.264683,0,70,3,0.083333,0.007253,0.000335
184,,2,2,4,6,0.300156,0.311244,63.30333,0,70,3,0.333333,0.041475,0.000502
390,,4,7,11,6,0.360435,0.385655,348.633191,0,70,7,0.319444,0.05596,0.000887
118,,4,2,6,7,0.271062,0.282289,16.536483,0,70,3,0.166667,0.020424,0.000524
1034,,4,1,5,8,0.179645,0.18374,246.379393,0,70,0,0.3,0.049998,0.00076
120,,3,2,5,6,0.278841,0.292065,27.835502,0,70,7,0,0.009459,0.000858
897,,3,5,8,6,0.363156,0.387561,877.064989,0,70,4,0.2,0.047392,0.000792
583,,7,5,12,6,0.36084,0.385984,295.016988,0,70,0,0.357143,0.061055,0.001244
122,,3,5,8,5,0.409188,0.433714,1553.908464,0,70,3,0.35,0.04887,0.000959
241,,6,2,8,6,0.299969,0.311868,92.287043,0,70,3,0.3,0.054581,0.00125
326,,1,3,4,6,0.312034,0.32824,8.231926,0,70,3,0.166667,0.001984,0.000328
123,,2,5,7,5,0.410235,0.434494,880.970308,0,70,2,0.25,0.012223,0.00046
211,,4,1,5,6,0.277714,0.289553,21.097702,0,70,2,0.166667,0.011109,0.000566
317,,3,3,6,6,0.296914,0.307831,117.607687,0,70,2,0,0.004861,0.000905
124,,3,2,5,6,0.36929,0.394508,1395.853483,0,70,3,0.35,0.048434,0.000616
